sentiment,total_trades,total_pnl,avg_pnl_per_trade,win_rate_pct,profitable_trades,days_in_market,mean_buy,mean_sell,count_buy,count_sell
Extreme Fear,10406,739110.25,71.03,76.22,7931,508,119.45,50.26,3123,7283
Fear,29808,3357155.44,112.63,87.29,26019,781,209.65,69.11,9230,20578
Neutral,18159,1292920.68,71.2,82.39,14961,396,94.59,60.05,5861,12298
Greed,25176,2150129.27,85.4,76.89,19358,633,54.17,111.02,11343,13833
Extreme Greed,20853,2715171.31,130.21,89.17,18594,326,28.98,176.05,6500,14353
